country,city,lat,lon,timestamp,hour,day,month,day_of_week,aqi,temp_c,humidity,pressure,wind_speed,pm25,pm10,co,no2,so2,o3,aqi_change_rate,aqi_reference
Pakistan,Faisalabad,31.4504,73.135,2026-08-04T22:02:59.920183+00:00,22,4,8,1,105,32.99,52,997,1.74,37.11,73.15,610.66,13.74,1.39,31.62,-5.0,
Pakistan,Faisalabad,31.4504,73.135,2026-08-04T23:54:18.407677+00:00,23,4,8,1,107,31.82,56,997,1.78,37.99,87.31,536.62,11.72,1.49,31.49,2.0,
Pakistan,Gujranwala,32.1877,74.1945,2026-08-04T07:35:09.073085+00:00,7,4,8,1,53,39.29,36,1000,0.79,13.0,8.0,1.9,1.9,2.1,53.2,,
Pakistan,Gujranwala,32.1877,74.1945,2026-08-04T07:57:10.723661+00:00,7,4,8,1,158,40.27,34,999,0.17,69.04,72.25,623.49,4.3,6.17,123.57,105.0,
Pakistan,Gujranwala,32.1877,74.1945,2026-08-04T08:31:17.837198+00:00,8,4,8,1,159,39.73,33,999,0.82,71.95,74.84,604.39,3.66,6.35,134.71,1.0,
Pakistan,Gujranwala,32.1877,74.1945,2026-08-04T11:15:05.186017+00:00,11,4,8,1,169,38.45,47,998,1.73,90.16,94.7,729.43,8.55,5.83,140.06,10.0,
Pakistan,Gujranwala,32.1877,74.1945,2026-08-04T13:45:20.485214+00:00,13,4,8,1,118,35.22,54,998,2.08,42.42,50.31,765.12,21.14,5.28,64.54,-51.0,
Pakistan,Gujranwala,32.1877,74.1945,2026-08-04T16:06:45.398615+00:00,16,4,8,1,136,33.7,65,1000,2.93,49.85,59.33,883.52,22.46,4.22,41.92,18.0,
Pakistan,Gujranwala,32.1877,74.1945,2026-08-04T18:22:42.843673+00:00,18,4,8,1,152,32.97,64,999,2.91,57.33,67.21,955.38,22.01,3.43,30.1,16.0,
Pakistan,Gujranwala,32.1877,74.1945,2026-08-04T20:18:12.917126+00:00,20,4,8,1,152,31.73,71,999,2.8,57.81,65.52,882.62,17.34,2.63,30.51,0.0,
Pakistan,Gujranwala,32.1877,74.1945,2026-08-04T22:03:06.420682+00:00,22,4,8,1,153,29.99,70,999,3.14,59.47,66.45,854.55,15.31,2.27,26.34,1.0,
Pakistan,Gujranwala,32.1877,74.1945,2026-08-04T23:54:25.471558+00:00,23,4,8,1,155,28.26,71,998,2.44,62.39,68.82,878.77,15.15,2.72,20.88,2.0,
Pakistan,Gujrat,32.5731,74.0789,2026-08-04T07:35:35.117578+00:00,7,4,8,1,53,39.3,37,1000,1.45,13.0,8.0,1.9,1.9,2.1,53.2,,
Pakistan,Gujrat,32.5731,74.0789,2026-08-04T07:57:35.980064+00:00,7,4,8,1,161,39.32,37,1000,1.45,75.42,78.33,704.43,6.35,9.12,131.69,108.0,
Pakistan,Gujrat,32.5731,74.0789,2026-08-04T08:31:31.280227+00:00,8,4,8,1,163,39.19,36,998,1.69,79.38,82.16,683.68,5.53,9.35,145.31,2.0,
Pakistan,Gujrat,32.5731,74.0789,2026-08-04T11:15:18.808190+00:00,11,4,8,1,173,36.66,55,999,2.78,98.55,102.91,820.14,11.0,8.06,146.15,10.0,
Pakistan,Gujrat,32.5731,74.0789,2026-08-04T13:45:34.392272+00:00,13,4,8,1,114,34.92,57,998,1.82,40.78,46.58,770.62,22.01,5.77,79.63,-59.0,
Pakistan,Gujrat,32.5731,74.0789,2026-08-04T16:07:11.867211+00:00,16,4,8,1,134,33.46,69,1000,2.54,49.02,57.7,948.52,26.06,4.75,45.7,20.0,
Pakistan,Gujrat,32.5731,74.0789,2026-08-04T18:23:11.845832+00:00,18,4,8,1,152,32.5,67,1000,2.03,57.0,66.83,1036.66,25.48,4.03,30.67,18.0,
Pakistan,Gujrat,32.5731,74.0789,2026-08-04T20:18:40.549966+00:00,20,4,8,1,153,30.96,77,1000,2.47,59.44,67.36,978.98,20.47,3.28,28.58,1.0,
Pakistan,Gujrat,32.5731,74.0789,2026-08-04T22:03:18.640044+00:00,22,4,8,1,154,28.79,78,999,2.78,61.37,68.22,943.61,17.16,3.11,24.78,1.0,
Pakistan,Gujrat,32.5731,74.0789,2026-08-04T23:54:38.762345+00:00,23,4,8,1,156,27.62,77,999,2.78,64.82,70.91,977.8,16.62,3.65,18.96,2.0,
Pakistan,Hyderabad,25.396,68.3578,2026-08-04T07:35:11.647467+00:00,7,4,8,1,158,35.36,47,1001,7.67,158.0,146.0,0.1,6.0,0.6,,,
Pakistan,Hyderabad,25.396,68.3578,2026-08-04T07:57:13.255162+00:00,7,4,8,1,65,35.36,47,1001,7.67,18.54,75.62,98.89,0.72,2.69,53.06,-93.0,
Pakistan,Hyderabad,25.396,68.3578,2026-08-04T08:31:19.192970+00:00,8,4,8,1,64,36.07,45,1000,7.54,18.2,75.62,97.71,0.74,2.66,52.35,-1.0,
Pakistan,Hyderabad,25.396,68.3578,2026-08-04T11:15:06.549104+00:00,11,4,8,1,62,36.17,45,999,7.64,17.38,76.32,97.99,0.95,2.67,49.2,-2.0,
Pakistan,Hyderabad,25.396,68.3578,2026-08-04T13:45:21.876765+00:00,13,4,8,1,64,32.14,58,1000,8.67,18.38,74.88,101.99,1.8,2.57,41.78,2.0,
Pakistan,Hyderabad,25.396,68.3578,2026-08-04T16:06:46.867789+00:00,16,4,8,1,68,29.65,66,1001,8.75,20.28,80.63,100.94,1.68,2.29,39.89,4.0,
Pakistan,Hyderabad,25.396,68.3578,2026-08-04T18:22:49.552997+00:00,18,4,8,1,71,28.57,70,1002,9.06,21.76,86.07,98.99,1.47,2.28,40.46,3.0,
Pakistan,Hyderabad,25.396,68.3578,2026-08-04T20:18:17.613522+00:00,20,4,8,1,73,27.92,72,1001,9.15,22.79,94.74,94.6,1.21,2.1,41.96,2.0,
Pakistan,Hyderabad,25.396,68.3578,2026-08-04T22:03:07.633478+00:00,22,4,8,1,73,27.37,75,1000,9.23,22.52,97.04,89.95,0.92,1.89,43.48,0.0,
Pakistan,Hyderabad,25.396,68.3578,2026-08-04T23:54:26.796890+00:00,23,4,8,1,72,27.27,75,1000,9.37,21.91,93.14,88.41,0.81,1.78,44.31,-1.0,
Pakistan,Islamabad,33.6844,73.0479,2026-08-04T07:34:50.478351+00:00,7,4,8,1,189,32.12,70,1003,1.34,189.0,,,,,,,
Pakistan,Islamabad,33.6844,73.0479,2026-08-04T07:56:51.796581+00:00,7,4,8,1,158,32.68,68,1004,1.34,68.34,73.48,708.21,4.8,2.32,116.67,-31.0,154.0
Pakistan,Islamabad,33.6844,73.0479,2026-08-04T08:31:07.869205+00:00,8,4,8,1,158,33.23,67,1003,1.34,68.97,73.94,698.61,4.28,2.28,123.99,0.0,154.0
Pakistan,Islamabad,33.6844,73.0479,2026-08-04T11:14:55.188613+00:00,11,4,8,1,151,33.23,69,1003,2.24,55.84,60.25,610.45,3.12,1.79,137.04,-7.0,154.0
Pakistan,Islamabad,33.6844,73.0479,2026-08-04T13:45:10.198925+00:00,13,4,8,1,97,31.57,75,1000,1.79,33.88,44.31,567.44,13.02,1.48,99.33,-54.0,154.0
Pakistan,Islamabad,33.6844,73.0479,2026-08-04T16:06:26.654991+00:00,16,4,8,1,118,30.46,79,1004,0.45,42.44,55.0,720.51,18.68,1.49,76.11,21.0,154.0
Pakistan,Islamabad,33.6844,73.0479,2026-08-04T18:22:17.362060+00:00,18,4,8,1,140,29.9,82,1002,3.08,51.16,64.71,848.55,21.02,1.42,60.62,22.0,154.0
Pakistan,Islamabad,33.6844,73.0479,2026-08-04T20:17:52.144674+00:00,20,4,8,1,151,29.34,84,1003,2.85,56.33,68.99,923.37,20.72,1.29,48.19,11.0,154.0
Pakistan,Islamabad,33.6844,73.0479,2026-08-04T22:02:57.483774+00:00,22,4,8,1,149,28.79,86,1001,2.78,54.99,64.06,836.17,12.77,1.67,64.67,-2.0,154.0
Pakistan,Islamabad,33.6844,73.0479,2026-08-04T23:54:15.754139+00:00,23,4,8,1,152,23.23,91,1001,2.68,56.51,64.48,825.02,11.7,1.86,61.87,3.0,154.0
Pakistan,Jhang,31.2781,72.3317,2026-08-04T07:35:29.882010+00:00,7,4,8,1,53,41.25,30,999,2.83,13.0,8.0,1.9,1.9,2.1,53.2,,
Pakistan,Jhang,31.2781,72.3317,2026-08-04T07:57:30.929260+00:00,7,4,8,1,115,41.25,30,999,2.83,41.37,78.87,332.33,2.08,7.42,115.48,62.0,
Pakistan,Jhang,31.2781,72.3317,2026-08-04T08:31:28.552131+00:00,8,4,8,1,105,42.05,28,998,2.7,37.26,69.83,319.72,2.12,7.02,115.37,-10.0,
Pakistan,Jhang,31.2781,72.3317,2026-08-04T11:15:16.076730+00:00,11,4,8,1,102,42.76,26,996,2.09,36.05,65.87,331.47,3.43,7.37,112.12,-3.0,
Pakistan,Jhang,31.2781,72.3317,2026-08-04T13:45:31.683392+00:00,13,4,8,1,113,38.97,35,996,6.66,40.48,81.19,432.21,10.81,7.22,82.54,11.0,
Pakistan,Jhang,31.2781,72.3317,2026-08-04T16:07:04.802860+00:00,16,4,8,1,128,37.41,40,997,5.65,46.63,95.26,520.02,14.05,6.27,59.29,15.0,
Pakistan,Jhang,31.2781,72.3317,2026-08-04T18:23:04.045139+00:00,18,4,8,1,141,36.41,42,998,5.44,51.66,111.4,543.8,14.54,5.51,49.54,13.0,
Pakistan,Jhang,31.2781,72.3317,2026-08-04T20:18:33.155999+00:00,20,4,8,1,140,34.23,48,998,4.2,51.22,119.78,480.15,12.44,4.21,45.49,-1.0,
Pakistan,Jhang,31.2781,72.3317,2026-08-04T22:03:16.187501+00:00,22,4,8,1,127,34.01,48,997,3.74,46.03,124.94,353.92,8.56,4.32,47.91,-13.0,
Pakistan,Jhang,31.2781,72.3317,2026-08-04T23:54:36.089675+00:00,23,4,8,1,119,32.53,53,997,2.34,42.74,125.51,275.13,7.13,5.14,46.75,-8.0,
Pakistan,Jhelum,32.9425,73.7257,2026-08-04T07:36:01.188491+00:00,7,4,8,1,53,36.66,44,1000,1.83,13.0,8.0,1.9,1.9,2.1,53.2,,
Pakistan,Jhelum,32.9425,73.7257,2026-08-04T07:58:01.232004+00:00,7,4,8,1,114,36.7,44,1000,1.83,40.93,42.63,556.27,6.03,5.69,118.84,61.0,
Pakistan,Jhelum,32.9425,73.7257,2026-08-04T08:31:44.661452+00:00,8,4,8,1,126,37.57,42,999,1.07,45.81,47.58,551.33,5.01,5.72,134.53,12.0,
Pakistan,Jhelum,32.9425,73.7257,2026-08-04T11:15:32.433381+00:00,11,4,8,1,500,38.24,44,998,1.43,55.47,57.84,623.67,8.45,4.9,144.25,374.0,
Pakistan,Jhelum,32.9425,73.7257,2026-08-04T13:45:48.345814+00:00,13,4,8,1,131,34.69,52,998,3.07,47.74,53.51,850.45,26.74,3.09,97.63,-369.0,
Pakistan,Jhelum,32.9425,73.7257,2026-08-04T16:07:41.021468+00:00,16,4,8,1,133,33.68,57,999,2.09,48.68,55.7,974.17,28.21,3.16,64.74,2.0,
Pakistan,Jhelum,32.9425,73.7257,2026-08-04T18:23:50.483389+00:00,18,4,8,1,138,32.8,58,999,2.11,50.5,58.36,1050.61,28.09,3.18,43.18,5.0,
Pakistan,Jhelum,32.9425,73.7257,2026-08-04T20:19:09.850955+00:00,20,4,8,1,139,30.71,68,999,1.92,51.07,58.43,1018.95,24.11,3.07,34.74,1.0,
Pakistan,Jhelum,32.9425,73.7257,2026-08-04T22:03:30.658446+00:00,22,4,8,1,141,29.52,72,999,2.26,51.72,58.34,971.57,19.16,3.15,31.64,2.0,
Pakistan,Jhelum,32.9425,73.7257,2026-08-04T23:54:51.922100+00:00,23,4,8,1,148,27.83,78,999,1.97,54.44,60.42,980.24,17.49,3.65,25.75,7.0,
Pakistan,Karachi,24.8607,67.0011,2026-08-04T07:34:45.257648+00:00,7,4,8,1,158,29.05,73,1004,6.62,158.0,146.0,0.1,6.0,0.6,,,
Pakistan,Karachi,24.8607,67.0011,2026-08-04T07:56:45.238166+00:00,7,4,8,1,67,29.07,73,1003,6.84,18.61,88.06,81.9,0.06,0.45,46.16,-91.0,161.0
Pakistan,Karachi,24.8607,67.0011,2026-08-04T08:31:04.241965+00:00,8,4,8,1,67,29.1,73,1003,7.06,18.61,88.06,81.9,0.06,0.45,46.16,0.0,161.0
Pakistan,Karachi,24.8607,67.0011,2026-08-04T11:14:51.553647+00:00,11,4,8,1,75,28.99,72,1002,6.82,21.23,103.11,81.71,0.07,0.47,44.79,8.0,161.0
Pakistan,Karachi,24.8607,67.0011,2026-08-04T13:45:06.388050+00:00,13,4,8,1,76,28.16,75,1002,5.9,22.42,105.53,81.56,0.09,0.49,42.53,1.0,161.0
Pakistan,Karachi,24.8607,67.0011,2026-08-04T16:06:22.171124+00:00,16,4,8,1,78,27.63,77,1003,6.26,23.26,110.12,81.98,0.1,0.51,43.45,2.0,161.0
Pakistan,Karachi,24.8607,67.0011,2026-08-04T18:22:05.373612+00:00,18,4,8,1,78,27.46,77,1003,5.9,23.12,109.98,82.37,0.1,0.52,44.67,0.0,161.0
Pakistan,Karachi,24.8607,67.0011,2026-08-04T20:17:45.698698+00:00,20,4,8,1,77,27.17,78,1002,6.69,22.77,107.63,81.93,0.1,0.55,44.72,-1.0,161.0
Pakistan,Karachi,24.8607,67.0011,2026-08-04T22:02:54.232045+00:00,22,4,8,1,76,27.02,79,1001,6.41,22.57,106.46,82.04,0.1,0.53,45.23,-1.0,161.0
Pakistan,Karachi,24.8607,67.0011,2026-08-04T23:54:12.203646+00:00,23,4,8,1,76,27.12,78,1001,7.45,22.67,106.14,81.56,0.11,0.54,45.25,0.0,161.0
Pakistan,Kasur,31.1156,74.4502,2026-08-04T07:35:45.596285+00:00,7,4,8,1,53,39.33,35,1000,1.59,13.0,8.0,1.9,1.9,2.1,53.2,,
Pakistan,Kasur,31.1156,74.4502,2026-08-04T07:57:46.017135+00:00,7,4,8,1,121,39.85,33,999,2.48,43.69,50.61,441.44,4.88,1.68,77.79,68.0,
Pakistan,Kasur,31.1156,74.4502,2026-08-04T08:31:36.545195+00:00,8,4,8,1,121,40.65,31,998,2.76,43.69,50.61,441.44,4.88,1.68,77.79,0.0,
Pakistan,Kasur,31.1156,74.4502,2026-08-04T11:15:24.264842+00:00,11,4,8,1,107,38.61,35,997,2.34,38.01,42.84,439.09,4.72,1.47,87.02,-14.0,
Pakistan,Kasur,31.1156,74.4502,2026-08-04T13:45:40.100041+00:00,13,4,8,1,113,34.91,48,998,3.39,40.48,47.56,712.92,18.82,1.59,52.61,6.0,
Pakistan,Kasur,31.1156,74.4502,2026-08-04T16:07:23.615240+00:00,16,4,8,1,500,33.38,53,999,3.57,46.83,54.94,773.71,19.08,1.83,41.56,387.0,
Pakistan,Kasur,31.1156,74.4502,2026-08-04T18:23:29.865149+00:00,18,4,8,1,148,32.15,58,999,3.25,54.47,64.12,803.66,18.03,2.11,35.9,-352.0,
Pakistan,Kasur,31.1156,74.4502,2026-08-04T20:18:52.147242+00:00,20,4,8,1,153,31.67,59,999,4.04,58.55,68.19,764.38,15.67,1.97,34.76,5.0,
Pakistan,Kasur,31.1156,74.4502,2026-08-04T22:03:23.366399+00:00,22,4,8,1,153,30.74,64,998,2.73,59.21,71.75,667.88,11.62,2.18,41.11,0.0,
Pakistan,Kasur,31.1156,74.4502,2026-08-04T23:54:43.924944+00:00,23,4,8,1,152,29.97,67,998,1.97,57.41,81.81,601.29,10.17,2.31,39.83,-1.0,
Pakistan,Khanewal,30.3015,71.932,2026-08-04T07:35:58.588132+00:00,7,4,8,1,53,41.12,31,999,3.54,13.0,8.0,1.9,1.9,2.1,53.2,,
Pakistan,Khanewal,30.3015,71.932,2026-08-04T07:57:58.708844+00:00,7,4,8,1,117,41.12,31,999,3.54,41.84,118.62,238.45,0.75,2.04,92.56,64.0,
Pakistan,Khanewal,30.3015,71.932,2026-08-04T08:31:43.310824+00:00,8,4,8,1,107,41.75,29,998,3.37,37.8,104.91,237.89,0.75,1.61,91.46,-10.0,
Pakistan,Khanewal,30.3015,71.932,2026-08-04T11:15:31.077274+00:00,11,4,8,1,106,42.3,28,996,3.02,37.53,102.38,240.57,1.15,1.31,90.42,-1.0,
Pakistan,Khanewal,30.3015,71.932,2026-08-04T13:45:47.080217+00:00,13,4,8,1,128,38.62,36,997,6.15,46.62,135.45,283.88,4.99,1.8,76.35,22.0,
Pakistan,Khanewal,30.3015,71.932,2026-08-04T16:07:36.540575+00:00,16,4,8,1,130,36.45,41,998,6.47,47.17,141.36,296.43,5.84,1.38,65.35,2.0,
Pakistan,Khanewal,30.3015,71.932,2026-08-04T18:23:44.080297+00:00,18,4,8,1,123,35.15,46,998,5.11,44.55,145.63,254.61,4.58,1.05,61.69,-7.0,
Pakistan,Khanewal,30.3015,71.932,2026-08-04T20:19:08.480609+00:00,20,4,8,1,112,34.26,48,998,5.15,39.98,143.59,187.77,3.24,1.46,58.7,-11.0,
Pakistan,Khanewal,30.3015,71.932,2026-08-04T22:03:29.443321+00:00,22,4,8,1,111,32.57,52,997,4.36,39.37,145.21,159.96,2.95,2.31,56.9,-1.0,
Pakistan,Khanewal,30.3015,71.932,2026-08-04T23:54:50.593216+00:00,23,4,8,1,120,31.94,54,997,4.7,43.3,158.45,152.56,2.79,2.86,60.67,9.0,
Pakistan,Lahore,31.5497,74.3436,2026-08-04T07:34:47.893551+00:00,7,4,8,1,53,40.38,32,1000,0.64,13.0,8.0,1.9,1.9,2.1,53.2,,
Pakistan,Lahore,31.5497,74.3436,2026-08-04T07:56:48.497489+00:00,7,4,8,1,128,40.38,32,1000,0.64,46.57,50.89,484.0,3.85,1.7,85.13,75.0,34.0
Pakistan,Lahore,31.5497,74.3436,2026-08-04T08:31:06.042050+00:00,8,4,8,1,132,40.38,32,1000,0.64,48.04,51.75,473.56,3.19,1.54,95.81,4.0,34.0
Pakistan,Lahore,31.5497,74.3436,2026-08-04T11:14:53.369993+00:00,11,4,8,1,126,39.81,33,997,2.29,45.74,49.25,464.67,3.94,1.46,106.94,-6.0,34.0
Pakistan,Lahore,31.5497,74.3436,2026-08-04T13:45:08.270505+00:00,13,4,8,1,123,35.91,46,998,3.29,44.62,52.98,740.07,20.01,2.71,43.87,-3.0,34.0
Pakistan,Lahore,31.5497,74.3436,2026-08-04T16:06:23.920321+00:00,16,4,8,1,131,34.37,52,999,3.65,47.84,55.83,763.14,18.34,2.26,38.48,8.0,34.0
Pakistan,Lahore,31.5497,74.3436,2026-08-04T18:22:10.316983+00:00,18,4,8,1,145,33.79,52,999,3.25,53.24,61.74,812.13,18.39,2.01,31.12,14.0,34.0
Pakistan,Lahore,31.5497,74.3436,2026-08-04T20:17:47.432042+00:00,20,4,8,1,151,32.72,56,999,3.47,55.64,63.76,787.4,16.36,1.71,30.13,6.0,34.0
Pakistan,Lahore,31.5497,74.3436,2026-08-04T22:02:55.864166+00:00,22,4,8,1,153,31.48,60,998,3.15,58.49,67.68,755.28,14.26,1.87,30.32,2.0,34.0
Pakistan,Lahore,31.5497,74.3436,2026-08-04T23:54:13.979847+00:00,23,4,8,1,153,30.5,63,998,2.46,58.76,71.69,715.42,12.7,1.97,29.23,0.0,34.0
Pakistan,Larkana,27.559,68.2123,2026-08-04T07:35:22.025221+00:00,7,4,8,1,189,42.14,28,999,3.76,189.0,,,,,,,
Pakistan,Larkana,27.559,68.2123,2026-08-04T07:57:23.308228+00:00,7,4,8,1,115,42.14,28,999,3.76,41.0,169.83,94.85,1.03,7.68,75.74,-74.0,
Pakistan,Larkana,27.559,68.2123,2026-08-04T08:31:24.613937+00:00,8,4,8,1,116,43.54,25,998,4.45,41.41,172.59,94.17,0.73,6.29,80.43,1.0,
Pakistan,Larkana,27.559,68.2123,2026-08-04T11:15:11.983884+00:00,11,4,8,1,116,44.15,23,996,6.02,41.02,186.03,92.59,0.53,3.63,81.76,0.0,
Pakistan,Larkana,27.559,68.2123,2026-08-04T13:45:27.482118+00:00,13,4,8,1,99,39.3,33,997,6.04,32.91,151.41,103.13,1.37,1.91,67.11,-17.0,
Pakistan,Larkana,27.559,68.2123,2026-08-04T16:06:57.740885+00:00,16,4,8,1,87,37.3,38,998,6.27,29.34,127.54,105.18,1.42,1.79,54.38,-12.0,
Pakistan,Larkana,27.559,68.2123,2026-08-04T18:22:59.755751+00:00,18,4,8,1,83,35.98,45,998,6.65,27.39,117.42,106.87,1.47,1.65,46.52,-4.0,
